"Selected Criteria - Report Type: Contracts With Dates"
"Customer","Contract Name","Contract No.","Value","Status","Start Date","End Date","Email","Notes"
"CHRISTIAN BROTHERS ACADEMY","CHRISTIAN BROTHERS ACADEMY - MAINTENANCE","24-112524-850NJ","$20,700.00","Active","12/07/2024","12/06/2025","Bmcloughlin@cbalincroftnj.org","MONTHLY"
"NORTH ARLINGTON BOARD OF EDUCATION","NORTH ARLINGTON BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-1218-222NJ","$20,620.00","Active","07/01/2025","12/31/2025",,
"WMC ASSOCIATES","WMC ASSOCIATES - MAINTENANCE","22-011822-105NY","$20,433.00","Expired","03/01/2022","02/28/2025",,
"PENGUIN MAINTENANCE & SERVICE INC.","PENGUIN - NEW AMSTERDAM - MAINTENANCE","25-0311-214NY","$20,348.00","Active","03/01/2025","02/28/2026",,
"CITY OF JERSEY CITY","CITY OF JERSEY CITY POLICE WEST DISTRICT - MAINTENANCE","25-010125-1NJ","$20,269.00","Active","07/01/2025","06/30/2026",,
"HUDSON COUNTY SCHOOLS OF TECH (ESCNJ)","HUDSON COUNTY TECH (EARL W. BYRD CENTER) - MAINTENANCE","23-042723-525NJ","$20,189.00","Expired","07/01/2023","06/30/2024",,"MONTHLY
Purchase Order 240163"
"HUDSON COUNTY SCHOOLS OF TECH (ESCNJ)","HUDSON COUNTY TECH (EARL W. BYRD CENTER) - MAINTENANCE","24-0524-525NJ","$20,189.00","Expired","07/01/2024","06/30/2025",,"MONTHLY
Purchase Order 240163"
"HUDSON COUNTY SCHOOLS OF TECH (ESCNJ)","HUDSON COUNTY TECH (EARL W. BYRD CENTER) - MAINTENANCE","25-0623-525NJ","$20,189.00","Active","07/01/2025","06/30/2026",,"MONTHLY
Purchase Order 240163"
"SHOREHAM-WADING RIVER CSD (ED-DATA)","SHOREHAM-WADING RIVER CSD - MAINTENANCE","23-0306-250NY","$20,073.00","Expired","07/01/2023","06/30/2024",,"7 ONSITE
7 REMOTE"
"SHOREHAM-WADING RIVER CSD (ED-DATA)","SHOREHAM-WADING RIVER CSD - MAINTENANCE","23-0306-250NY","$20,073.00","Active","07/01/2024","06/30/2025",,"7 ONSITE
7 REMOTE"
"HENICK-LANE SERVICE CORP","42 Trinity Place - MAINTENANCE","23-020923-42NY","$20,000.00","Expired","03/01/2023","02/29/2024",,
"HENICK-LANE SERVICE CORP","42 Trinity Place - MAINTENANCE","23-1228-42NY","$20,000.00","Active","03/01/2024","02/28/2025",,
"NEW YORK CITY POLICE PENSION FUND","NEW YORK CITY POLICE PENSION FUND - MAINTENANCE","25-0203-233NY-6LE","$19,995.00","Active","03/01/2025","02/28/2028",,
"PACE UNIVERSITY","PACE UNIVERSITY - MAINTENANCE","24-0510-15NY","$19,958.00","Active","07/01/2024","06/30/2025",,
"PENGUIN MAINTENANCE & SERVICE INC.","PENGUIN - NEW AMSTERDAM - MAINTENANCE","23-071823-214NY","$19,949.04","Expired","05/01/2024","04/30/2025",,
"CHRISTIAN BROTHERS ACADEMY","CHRISTIAN BROTHERS ACADEMY - MAINTENANCE","22-102822-850NJ","$19,900.00","Expired","12/07/2022","12/06/2023","Bmcloughlin@cbalincroftnj.org","MONTHLY"
"CHRISTIAN BROTHERS ACADEMY","CHRISTIAN BROTHERS ACADEMY - MAINTENANCE","23-111323-850NJ","$19,900.00","Expired","12/07/2023","12/06/2024","Bmcloughlin@cbalincroftnj.org","MONTHLY"
"RIDGEFIELD BOARD OF EDUCATION (ESCNJ)","RIDGEFIELD BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","24-0522-555NJ","$19,801.00","Expired","07/01/2024","06/30/2025",,
"RIDGEFIELD BOARD OF EDUCATION (ESCNJ)","RIDGEFIELD BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","25-0306-555NJ-1LE","$19,801.00","Active","07/01/2025","06/30/2026",,
"CITY OF JERSEY CITY","CITY OF JERSEY CITY -  ENGINE 14 FIREHOUSE","25-010125-1&4NJ","$19,751.00","Active","05/01/2025","12/31/2025",,
"HAZLET TOWNSHIP PUBLIC SCHOOLS (ESCNJ)","8 SCHOOLS","21-110921-421NJ","$19,475.00","Expired","01/01/2022","12/31/2022",,
"NEW AMSTERDAM THEATRE","NEW AMSTERDAM THEATRE - MAINTENANCE","22-072622-214NY","$19,368.00","Expired","09/01/2022","08/31/2023","nd@disney.com",
"CONNELL REAL ESTATE & DEVELOPMENT CO.","CONNELL REAL ESTATE & DEVELOPMENT CO. - MAINTENANCE","23-031623-100NJ","$19,152.00","Expired","03/01/2024","02/28/2025",,
"THE HARDMAN GROUP","THE HARDMAN GROUP (693 5th) - MAINTENANCE","23103123-693NY","$19,060.00","Active","01/01/2025","12/31/2025",,
"WYCKOFF SCHOOL DISTRICT (ESCNJ)","WYCKOFF SCHOOL DISTRICT (ESCNJ) - MAINTENANCE","25-12484-NJ","$18,937.20","Active","07/01/2025","06/30/2026",,"2 Visits per school per year"
"EAST HARLEM SCHOLAR ACAD CHARTER SCHOOL","EAST HARLEM SCHOLAR ACAD CHARTER SCHOOL -  MAINTENANCE","24-0823-2017NY","$18,832.00","Active","10/01/2024","09/30/2025",,
"POMPTON LAKES BOARD OF EDUCATION","BOARD OF EDUCATION - POMPTON LAKES - PNEUMATICS MAINTENANCE","24-0507-237NJ","$18,648.00","Expired","07/01/2024","06/30/2025",,
"THE HARDMAN GROUP","THE HARDMAN GROUP (693 5th) - MAINTENANCE","23103123-693NY","$18,596.00","Expired","01/01/2024","12/31/2024",,
"FRANKLIN BOROUGH BOARD OF EDUCATION","FRANKLIN BOROUGH BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","24-0506-50NJ","$18,480.00","Expired","06/01/2024","05/31/2025",,
"FRANKLIN BOROUGH BOARD OF EDUCATION","FRANKLIN BOROUGH BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","25-0506-50NJ","$18,480.00","Active","06/01/2025","05/31/2026",,
"UPPER SADDLE RIVER BOARD OF EDUCATION","UPPER SADDLE RIVER BOARD OF EDUCATION -  PNEUMATICS MAINTENANCE","25-042325-289NJ","$18,480.00","Active","07/01/2025","06/30/2026",,
"BLOOMINGDALE BOARD OF EDUCATION","BLOOMINGDALE BOE - MAINTENANCE","25-0523-29NJ","$18,330.00","Active","07/01/2025","06/30/2026",,"Quarterly"
"THE WINDWARD SCHOOL","THE WINDWARD SCHOOL - MAINTENANCE","25-0708-1275NJ","$18,025.00","Active","07/01/2025","06/30/2026",,
"WATCHUNG HILLS REG TWP HS BOE (ESCNJ)","WATCHUNG HILLS REGIONAL HIGH SCHOOL","23-110222-108NJ","$17,920.00","Expired","01/01/2023","06/30/2023",,
"WATCHUNG HILLS REG TWP HS BOE (ESCNJ)","WATCHUNG HILLS REGIONAL HIGH SCHOOL - MAINTENANCE","23-053123-108NJ","$17,920.00","Expired","07/01/2023","12/31/2023",,
"WATCHUNG HILLS REG TWP HS BOE (ESCNJ)","WATCHUNG HILLS REGIONAL HIGH SCHOOL - MAINTENANCE","24-110623-108NJ","$17,920.00","Expired","01/01/2024","12/31/2024",,
"WATCHUNG HILLS REG TWP HS BOE (ESCNJ)","WATCHUNG HILLS REGIONAL HIGH SCHOOL - MAINTENANCE","25-040625-108NJ","$17,920.00","Active","07/01/2025","12/31/2025",,
"300 KIMBALL NJ, LLC","300 KIMBALL DRIVE - MAINTENANCE","23-120522-300NJ","$17,726.00","Expired","02/01/2023","01/31/2024","monique.hughes@300kimballnj.com",
"300 KIMBALL NJ, LLC","300 KIMBALL DRIVE - MAINTENANCE","24-073124-300NJ","$17,726.00","Expired","08/01/2024","07/31/2025","monique.hughes@300kimballnj.com",
"300 KIMBALL NJ, LLC","300 KIMBALL DRIVE - MAINTENANCE","23-1220-300NJ","$17,726.00","Active","08/01/2025","07/31/2026","monique.hughes@300kimballnj.com",
"222 EAST BROADWAY CONDOMINIUM","222 EAST BROADWAY CONDOMINIUM -  MAINTENANCE","24-052024-232NY","$17,552.00","Active","06/01/2025","05/31/2026",,
"EDUCATIONAL SERVICES COMM OF NJ (ESCNJ)","EDUCATIONAL SERVICES COMM OF NJ (ESCNJ) - MAINTENANCE","23-0627-1660NJ","$17,496.00","Expired","07/01/2023","06/30/2024",,"Monthly
NO SMA
UNL Remote Support"
"LENAPE REGIONAL HS DISTRICT (ESCNJ)","SENECA HS - Maintenance","22-040422-93NJ","$17,400.00","Expired","07/01/2022","06/30/2023","lglunt@lrhsd.org",
"LENAPE REGIONAL HS DISTRICT (ESCNJ)","LENAPE/SHAWNEE - MAINTENANCE","23-042823-93NJ","$17,400.00","Expired","07/01/2023","06/30/2024","lglunt@lrhsd.org",
"LENAPE REGIONAL HS DISTRICT (ESCNJ)","SENECA HS - MAINTENANCE","23-042523-93NJ","$17,400.00","Expired","07/01/2023","06/30/2024","lglunt@lrhsd.org","monthly visits
Unl RS
SMA included"
"LENAPE REGIONAL HS DISTRICT (ESCNJ)","SENECA HIGH SCHOOL - MAINTENANCE","24-0422-93NJ","$17,400.00","Expired","07/01/2024","06/30/2025","lglunt@lrhsd.org","monthly visits
Unl RS
SMA included"
"LENAPE REGIONAL HS DISTRICT (ESCNJ)","SENECA HIGH SCHOOL - MAINTENANCE","25-0503-110NJ","$17,400.00","Active","07/01/2025","06/30/2026","lglunt@lrhsd.org","monthly visits
Unl RS
SMA included"
"1460 LEASEHOLD SWINGHM LLC","1460 BROADWAY - MAINTENANCE","21-101521-1460NY","$17,201.00","Active","03/13/2025","03/13/2028","thowe@merprop.com","20 Service Hours"
"ARE-NY REGION NO.2, LLC","SCIENCE HOTEL - MAINTENANCE","25-031025-320NY","$16,952.00","Active","04/01/2025","03/31/2026",,
"CITY OF JERSEY CITY","CITY OF JERSEY CITY PUBLIC SAFETY - MAINTENANCE",,"$16,900.00","Expired","10/01/2024","12/31/2024",,
"THE TURKEVI CENTER","THE TURKEVI CENTER - MAINTENANCE","23-083123-821NY-2YSE","$16,814.00","Expired","02/01/2024","12/31/2024",,"SMA ONLY"
"THE TURKEVI CENTER","THE TURKEVI CENTER - MAINTENANCE","24-0821-821NY","$16,814.00","Active","01/01/2025","12/31/2025",,"SMA ONLY"
"UPPER SADDLE RIVER BOARD OF EDUCATION","UPPER SADDLE RIVER BOARD OF EDUCATION -  PNEUMATICS MAINTENANCE","24-042424-289NJ","$16,800.00","Expired","07/01/2024","06/30/2025",,
"THE JEWISH THEOLOGICAL SEMINARY","Jewish Theological Seminary - MAINTENANCE","23-122122-3080NY","$16,737.00","Expired","01/01/2023","12/31/2023","larosario@jtsa.edu",
"THE JEWISH THEOLOGICAL SEMINARY","Jewish Theological Seminary - MAINTENANCE","23-122122-3080NY","$16,737.00","Expired","01/01/2024","12/31/2024","larosario@jtsa.edu",
"THE JEWISH THEOLOGICAL SEMINARY","Jewish Theological Seminary - MAINTENANCE","25-010125-3080NY","$16,737.00","Active","01/01/2025","12/31/2025","larosario@jtsa.edu",
"MENDHAM TOWNSHIP BOE (ESCNJ)","MENDHAM TOWNSHIP BOE (ESCNJ) - MAINTENANCE","25-0616-6NJ-1LE","$16,706.00","Active","07/01/2025","06/30/2026",,
"TCG GREENCHEM, INC.","TCG GREENCHEM EWING","22-061322-701NJ","$16,524.00","Expired","08/01/2022","07/31/2023","pelicanglobal@pelicangroup.us",
"PELICAN GLOBAL INC.","TCG GreenChem Ewing - Maintenance","22-061322-701NJ","$16,524.00","Expired","08/01/2022","07/31/2023",,"Monthly"
"UNION TOWNSHIP BOARD OF EDUCATION (ESCNJ)","UNION TOWNSHIP BOARD OF EDUCATION (ESCNJ) -  MAINTENANCE","25-0723-149NJ","$16,520.00","Active","07/01/2025","06/30/2026",,
"THE TURKEVI CENTER","THE TURKEVI CENTER - MAINTENANCE","23-110322-821NY-SE","$16,485.00","Expired","02/01/2023","01/31/2024",,"SMA ONLY"
"CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY)","CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY) -  Maintenance","23-020323-141NY","$16,271.00","Expired","03/01/2023","02/29/2024",,
"CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY)","CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY) -  Maintenance","23-020323-141NY","$16,271.00","Expired","03/01/2024","03/01/2025",,
"CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY)","CUSHMAN & WAKEFIELD INC. (141 WILLOUGHBY) -  Maintenance","25-010725-141NY","$16,271.00","Active","03/01/2025","02/28/2026",,
"1460 LEASEHOLD SWINGHM LLC","1460 BROADWAY - MAINTENANCE","21-101521-1460NY","$16,199.00","Expired","01/01/2024","12/31/2024","thowe@merprop.com","20 Service Hours"
"HASBROUCK HEIGHTS B.O.E. (ESCNJ)","EUCLID, LINCOLN, HASBROUCK HEIGHTS MS/HS -  Maintenance","23-041922-379NJ","$16,197.12","Expired","07/01/2022","06/30/2023","mihalitsianosger@hhschools.org","CERTIFIED PAYROLL REQUIRED WITH INVOICE"
"HASBROUCK HEIGHTS B.O.E. (ESCNJ)","HASBROUCK HEIGHTS B.O.E. (ESCNJ) - MAINTENANCE","23-051523-379NJ","$16,197.12","Expired","07/01/2023","06/30/2024","mihalitsianosger@hhschools.org","Monthly
UNL RS
NO SMA"
"HASBROUCK HEIGHTS B.O.E. (ESCNJ)","HASBROUCK HEIGHTS B.O.E. (ESCNJ) - MAINTENANCE","24-0522-379NJ","$16,197.12","Expired","07/01/2024","06/30/2025","mihalitsianosger@hhschools.org","Monthly
UNL RS
NO SMA"
"HASBROUCK HEIGHTS B.O.E. (ESCNJ)","HASBROUCK HEIGHTS B.O.E. (ESCNJ) - MAINTENANCE","25-0522-379NJ","$16,197.12","Active","07/01/2025","06/30/2026","mihalitsianosger@hhschools.org","Monthly
UNL RS
NO SMA"
"UG2 LLC","MERCY COLLEGE","21-031921-66M","$15,874.00","Expired","07/01/2021","06/30/2022","rarmandi@ug2.com",
"VIRGIN HOTELS NEW YORK CITY","VIRGIN HOTELS NEW YORK CITY - MAINTENANCE","24-1210-1222NY-1LE","$15,306.00","Active","01/01/2025","12/31/2025",,
"F & G MECHANICAL CORP.","67 E. PARK PLACE - MAINTENANCE","24-0912-348NJ","$15,016.00","Active","04/01/2025","03/31/2026","leek@fgmech.com",
"HUDSON COUNTY SCHOOLS OF TECH (ESCNJ)","HUDSON COUNTY TECH (FRANK J. GARGIULO CAMPUS, HIGH TECH HS) - MAINTENANCE","25-0228-1NJ","$15,000.00","Active","03/01/2025","02/28/2026","Wzitt@hcstonline.org","Per Tracy ( phone call) , she said use the same PO number- what they do is just increase the amount. she said no need to send us an updated PO."
"BEDFORD AVENUE TRS LLC","MOXY HOTEL - MAINTENANCE","23-032723-353NY","$14,957.00","Expired","08/01/2023","07/31/2024","carlos.lorenzo@moxywilliamsburg.com","QUARTERLY"
"BEDFORD AVENUE TRS LLC","MOXY HOTEL - MAINTENANCE","24-0724-353NY","$14,957.00","Active","10/01/2024","09/30/2025","carlos.lorenzo@moxywilliamsburg.com","QUARTERLY"
"WESTCHESTER COUNTY HEALTHCARE CORP.","WMC AMBULATORY CARE PAVILLION - SMA/REMOTE ONLY","WMC-03755","$14,900.00","Expired","05/15/2022","05/14/2023","robert.daly@wmchealth.org",
"CITY OF JERSEY CITY","CITY OF JERSEY CITY POLICE CENTRAL COMMUNICATIONS -  MAINTENANCE","24-092724-75NJ3M","$14,530.00","Expired","10/01/2024","12/31/2024",,
"CITY OF JERSEY CITY","JERSEY CITY ANNEX 1 & PARKING GARAGE - MAINTENANCE","23-102822-1&4NJ","$14,470.00","Expired","07/01/2023","12/31/2023","Dcarlucci@jcnj.org","EVERY OTHER MONTH - AT BOTH LOCATIONS
(6) MONTHS"
"BON SECOURS COMMUNITY HOSPITAL","BON SECOURS COMMUNITY HOSPITAL - Maintenance","23-073023-160NY","$14,445.24","Active","10/01/2023","09/30/2024","Jeannine.Lynch@wmchealth.org",
"BLOOMINGDALE BOARD OF EDUCATION","BLOOMINGDALE BOE - MAINTENANCE","24-1014-29NJ8M","$14,315.00","Expired","11/01/2024","06/30/2025",,"Quarterly"
"BON SECOURS COMMUNITY HOSPITAL","BON SECOURS COMMUNITY HOSPITAL - Maintenance","22-091422-160NY","$14,162.00","Expired","10/01/2022","09/30/2023","Jeannine.Lynch@wmchealth.org",
"LAKELAND BOARD OF EDUCATION","LAKELAND REGIONAL HIGH SCHOOL - MAINTENANCE","23-060123-205NJ","$13,544.50","Expired","07/01/2023","06/30/2024","wgrimes@lakeland.k12.nj.us","QUARTERLY"
"SODEXO OPERATIONS, LLC","787 7TH AVE (7, 8, 9) - MAINTENANCE","24-0213-787NY","$13,520.00","Expired","01/01/2024","12/31/2024","tayler.chambers@sodexo.com",
"CBRE PROPERTY MANAGEMENT","CBRE 787 7TH - MAINTENANCE",,"$13,520.00","Active","05/01/2024","04/30/2025",,
"LAKELAND BOARD OF EDUCATION","LAKELAND REGIONAL HIGH SCHOOL","23-041922-205NJ","$13,150.00","Expired","07/01/2022","06/30/2023","wgrimes@lakeland.k12.nj.us","Includes 19-20 Billing and 1/2 of 20-21 Contract"
"JLL/BMW","BMW: 20 COLONY ROAD - MAINTENANCE","21-020221-20NJ","$12,800.00","Expired","03/22/2021","03/21/2024","carmen.custer@am.jll.com","All tickets & invoices through Corrigo"
"JLL/BMW","BMW: 20 COLONY ROAD - MAINTENANCE","21-020221-20NJ","$12,800.00","Active","03/22/2024","12/31/2025","carmen.custer@am.jll.com","All tickets & invoices through Corrigo"
"THE WINDWARD SCHOOL","THE WINDWARD SCHOOL - MAINTENANCE","24-0117-1275NY","$12,745.00","Expired","01/01/2024","06/30/2024",,
"MARK ANTHONY BREWING, INC","MARK ANTHONY BREWING, INC - MAINTENANCE","24-1108-600NJ","$12,541.00","Expired","10/01/2024","03/31/2025",,"Maintain and upgrade system licensing agreements
Unlimited Remote Support
Offsite backup 4 times/year (non-archived)"
"BOE N. HUNTERDON-VOORHEES REG.(ESCNJ)","BOE N. HUNTERDON-VOORHEES REG.(ESCNJ) - North Hunterdon MAINTENANCE","25-0501-1441NJ","$12,499.00","Active","07/01/2025","06/30/2026",,
"CBRE PROPERTY MANAGEMENT","CBRE 295 5TH - MAINTENANCE","515116","$12,372.00","Expired","04/21/2024","04/20/2025",,
"THE PORT AUTH. OF NY&NJ - LINCOLN TUNNEL","THE PORT AUTH. OF NY&NJ - LINCOLN TUNNEL - MAINTENANCE","24-1213-500NJ","$12,274.00","Active","01/01/2025","12/31/2025",,
"TINTON FALLS BOARD OF EDUCATION (ESCNJ)","TINTON FALLS BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","23-042623-658NJ1YR","$12,250.00","Expired","07/01/2023","06/30/2024",,"One visit per school twice a year"
"TINTON FALLS BOARD OF EDUCATION (ESCNJ)","TINTON FALLS BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","24-05243-658NJ","$12,250.00","Expired","07/01/2024","06/30/2025",,"One visit per school twice a year"
"TINTON FALLS BOARD OF EDUCATION (ESCNJ)","TINTON FALLS BOARD OF EDUCATION (ESCNJ) - MAINTENANCE","25-0611-658NJ","$12,250.00","Active","07/01/2025","06/30/2026",,"One visit per school twice a year"
"COUNTY OF ORANGE NY","LOT #2 FOR THE MIDDLE TOWN COMMUNITY CAMPUS - MAINTENANCE",,"$12,000.00","Expired","04/01/2021","12/31/2024","bconklin@orangecountygov.com","1500 per PM
8 total PM's
12000"
"GIRL SCOUTS OF THE USA","GIRL SCOUTS OF THE USA - MAINTENANCE","25-0313-550NY","$11,991.00","Active","08/25/2025","08/24/2026",,
"WATCHUNG HILLS REG TWP HS BOE (ESCNJ)","WATCHUNG HILLS REGIONAL HIGH SCHOOL - MAINTENANCE","24-1111-108NJ","$11,946.67","Expired","01/01/2025","04/30/2025",,
"B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ)","B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ) - MAINTENANCE","24-010224-100NJ","$11,754.00","Expired","07/01/2024","06/30/2025",,
"B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ)","B.O.E. PASSAIC VALLEY REG. H.S. (ESCNJ) - MAINTENANCE","12507","$11,754.00","Active","07/01/2025","06/30/2026",,
"GLEN RIDGE PUBLIC LIBRARY","Glen Ridge  Public Library Mechanical  Contract-Maintenance  (Gamma)","24-102023-240NJ-1Y-2","$11,670.00","Active","01/01/2024","12/31/2024","jbagdon@glenridgelibrary.org","MECHANICAL CONTRACT"
"GIRL SCOUTS OF THE USA","GIRL SCOUTS OF THE USA - MAINTENANCE","213581","$11,504.00","Expired","05/01/2024","04/30/2025",,
"F & G MECHANICAL CORP.","389-399 INTERPACE","22-010322-389NJ","$11,400.00","Expired","04/01/2022","03/31/2023","leek@fgmech.com","Billed quartely"
"F & G MECHANICAL CORP.","389-399 INTERPACE - MAINTENANCE","23-091322-348NJ","$11,400.00","Expired","05/01/2023","04/30/2024",,
"SOUTHAMPTON TWP B.O.E. (ESCNJ)","SOUTHAMPTON BOE - MAINTENANCE","22-020322-177NJ","$11,344.00","Expired","07/01/2022","06/30/2023","greenek@southampton.k12.nj.us",
"SOUTHAMPTON TWP B.O.E. (ESCNJ)","SOUTHAMPTON BOE - MAINTENANCE","22-020322-177NJ","$11,344.00","Expired","07/01/2023","06/30/2024","greenek@southampton.k12.nj.us","Every 8 weeks / Semi-Annually for each school.
(6 Visits/year)"
"OAKLAND PUBLIC SCHOOLS (ESCNJ)","DOGWOOD, HIEGHTS, MANITO, VALLEY SCHOOLS - MAINTENANCE","23-042622-315NJ","$11,280.00","Expired","07/01/2022","06/30/2023","jacod@oaklandschoolsnj.org",
"OAKLAND PUBLIC SCHOOLS (ESCNJ)","DOGWOOD, HIEGHTS, MANITO, VALLEY SCHOOLS - MAINTENANCE","23-042523-315NJ","$11,280.00","Active","07/01/2023","06/30/2024","jacod@oaklandschoolsnj.org",
"BOE N. HUNTERDON-VOORHEES REG.(ESCNJ)","BOE N. HUNTERDON-VOORHEES REG.(ESCNJ) - North Hunterdon MAINTENANCE","24-0730-1441NJ","$11,197.00","Expired","08/01/2024","06/30/2025",,
"BOE N. HUNTERDON-VOORHEES REG.(ESCNJ)","BOE N. HUNTERDON-VOORHEES REG.(ESCNJ) - Voorhees MAINTENANCE","25-0501-256NJ","$11,100.00","Active","07/01/2025","06/30/2026",,
"ROSELAND BOARD OF EDUCATION (ESCNJ)","ROSELAND BOE - MAINTENANCE","22-0119AP","$11,087.82","Expired","03/01/2022","06/30/2024","taugust@roselandnjboe.org",
"DELAWARE TOWNSHIP B.O.E. (ESCNJ)","DELAWARE TOWNSHIP SCHOOL","23-020623-501NJ","$11,012.00","Expired","04/01/2022","03/31/2023","jmunsey@dtsk8nj.org",
"F & G MECHANICAL CORP.","369-379 INTERPACE","22-010322-369NJ","$10,800.00","Expired","04/01/2022","03/31/2023","leek@fgmech.com","Billed quartely"
"F & G MECHANICAL CORP.","67 E. PARK PLACE","22-020322-348NJ","$10,800.00","Expired","04/01/2022","03/31/2023","leek@fgmech.com",
"F & G MECHANICAL CORP.","67 E. PARK PLACE - MAINTENANCE","23-080822-348NJ","$10,800.00","Expired","04/01/2023","03/31/2024","leek@fgmech.com",
"DOBBS FERRY UFSD (ED-DATA)","DOBBS FERRY UFSD (ED-DATA) - MAINTENANCE","24-0524-DFNJ","$10,661.00","Expired","07/01/2024","06/30/2025",,
"DOBBS FERRY UFSD (ED-DATA)","DOBBS FERRY UFSD (ED-DATA) - MAINTENANCE","25-0516-DFNJ","$10,661.00","Active","07/01/2025","06/30/2026",,
"MODERN 100","THE MODERN 100","22-040522-100NJ","$10,660.00","Expired","06/01/2022","05/31/2023","Luis-Santiago@bozzuto.com","Upload to their portal"
"RWJ BARNABAS HEALTH, INC.","SQUIER HALL AT FORT MONMOUTH - MAINTENANCE","25-011025-283NJ","$10,651.00","Active","03/01/2025","02/28/2026",,
"AME INC","AME INC. - TEST MAINTENANCE CONTRACT","23-123122-1275NJ","$10,500.00","Active","06/01/2024","05/31/2025","danny@ame-inc.com",
"LAKELAND BOARD OF EDUCATION (ESCNJ)","LAKELAND REGIONAL HIGH SCHOOL (ESCNJ) - MAINTENANCE","24-052924-205NJ","$10,462.50","Expired","07/01/2024","06/30/2025",,
"LAKELAND BOARD OF EDUCATION (ESCNJ)","LAKELAND REGIONAL HIGH SCHOOL (ESCNJ) - MAINTENANCE","25-122224-205NJ","$10,462.50","Active","07/01/2025","06/30/2026",,
"CEDAR GROVE SCHOOL DISTRICT (ESCNJ)","CEDAR GROVE SCHOOL DISTRICT (ESCNJ) - MAINTENANCE","11619","$10,413.97","Expired","07/01/2024","06/30/2025",,
"CEDAR GROVE SCHOOL DISTRICT (ESCNJ)","CEDAR GROVE SCHOOL DISTRICT (ESCNJ) - MAINTENANCE","12723","$10,413.97","Active","07/01/2025","06/30/2026",,
"BLOOMINGDALE BOARD OF EDUCATION","BLOOMINGDALE BOE - MAINTENANCE","23-052523-29NJ","$10,350.00","Expired","07/01/2023","06/30/2024",,"Quarterly"
"EO 160 WATER LLC","EO 160 WATER LLC - MAINTENANCE","24-00000000JD","$10,311.00","Active","04/01/2025","03/31/2026",,
"HARDYSTON BOARD OF EDUCATION","HARDYSTON BOARD OF EDUCATION - PNEUMATICS MAINTENANCE","25-021825-289NJ","$10,296.00","Active","07/01/2025","06/30/2026",,
"AIR SYSTEMS MAINTENANCE INC.","AIR SYSTEMS MAINTENANCE INC. -  South Beach Psych.- MAINTENANCE","24-0223-777NY","$10,225.00","Expired","03/01/2024","08/31/2024",,
"CUSHMAN & WAKEFIELD, INC. (650 FIFTH)","650 FIFTH AVENUE","22-031022-650NY","$10,200.00","Expired","04/01/2022","03/31/2023",,"April & July billing submitted in September"
"TURNBULL & ASSER LTD","TURNBULL & ASSER - MAINTENANCE","23-1221-50NY","$10,145.00","Expired","04/01/2024","03/31/2025","s.watkins@turnbullandasser.com",
"TURNBULL & ASSER LTD","TURNBULL & ASSER - MAINTENANCE","25-0211-50NY-1LE","$10,145.00","Active","04/01/2025","03/31/2026","s.watkins@turnbullandasser.com",
"SODEXO OPERATIONS, LLC","787 7TH AVE (7, 8, 9) - MAINTENANCE","22-121222-787NY","$10,140.00","Expired","04/01/2023","12/31/2023","tayler.chambers@sodexo.com",
"MASONIC CARE NEW ROCHELLE","MASONIC CARE - Maintenance","23-1228-29NY","$9,992.00","Expired","03/01/2024","02/28/2025","Ckaminski@masonichallnyc.org","Billed in advance on Dec - 2021"
"MASONIC CARE NEW ROCHELLE","MASONIC CARE - MAINTENANCE","25-0228-29NY","$9,992.00","Active","03/01/2025","02/28/2026","Ckaminski@masonichallnyc.org","Billed in advance on Dec - 2021"
"META SURGICAL ASSOCIATES, LLC","META SURGICAL ASSOCIATES, LLC - MAINTENANCE","25-0624-6NJ","$9,980.00","Active","08/01/2025","07/31/2026",,
"SAUGERTIES CENTRAL SCHOOL DISTRICT","SAUGERTIES CENTRAL SCHOOL DISTRICT - MAINTENANCE","24-1023-310NY-1LE","$9,972.00","Active","11/01/2024","10/31/2025",,
"7 AND 9 ROSZEL ROAD LLC","WEST WINDSOR COMMONS - 7","22-042022-79NJ-B7","$9,938.00","Expired","07/01/2022","06/30/2023","gregory.ginis@cbre.com",
"7 AND 9 ROSZEL ROAD LLC","CBRE - 7 ROSZEL - MAINTENANCE","23-111723-7NJ","$9,938.00","Active","12/01/2023","11/30/2024","gregory.ginis@cbre.com",
"MASONIC CARE NEW ROCHELLE","MASONIC CARE - Maintenance","23-020823-29NY","$9,894.00","Expired","03/01/2023","02/29/2024","Ckaminski@masonichallnyc.org","Billed in advance on Dec - 2021"
